book_no,charge_no,statute,description,level,degree
ASO18JBN006370,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO17JBN006971,#1,782.051.1,HOMICIDE: SPECIF FELONY COMMIT ACT COULD CAUSE DEATH,F,1st
ASO19JBN001695,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN001689,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO18JBN006682,#1,812.13.2b,ROBBERY: WITH WEAPON,F,1st
ASO18JBN006682,#2,784.03.1a1,BATTERY: TOUCH OR STRIKE,M,1st
ASO19JBN001482,#1,893.13.6b,MARIJUANA-POSSESS: NOT MORE THAN 20 GRAMS,M,1st
ASO19JBN001482,#2,893.13.6a,COCAINE-POSSESS: POSSESS COCAINE,F,3rd
ASO19JBN001685,#1,893.13.1a1,COCAINE-SELL: SCHEDULE II,F,2nd
ASO19JBN000672,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO18JBN006854,#1,784.03.2,BATTERY: 2ND OR SUBSQ OFF,F,3rd
ASO18JBN006854,#2,784.03.2,BATTERY: 2ND OR SUBSQ OFF,F,3rd
ASO18JBN006854,#3,901.36.1,FRAUD-IMPERSON: FALSE ID GIVEN TO LEO,M,1st
ASO18JBN006422,#1,812.13.2a,ROBBERY: WITH FIREARM,F,1st
ASO18JBN006422,#2,787.01.1a2,KIDNAP: COMMIT OR FACILITATE COMMISSION OF FELONY,F,1st
ASO19JBN001260,#1,784.07.2b,BATTERY: ON OFFICER FIREFIGHTER EMT ETC,F,3rd
ASO19JBN001260,#2,843.02,RESIST OFFICER: OBSTRUCT WO VIOLENCE,M,1st
ASO19JBN001531,#1,901.31,FAILURE TO APPEAR: WRITTEN PROMISE TO APPEAR,N,N
ASO19JBN001129,#1,901.31,FAILURE TO APPEAR: WRITTEN PROMISE TO APPEAR,N,N
ASO19JBN001129,#2,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO18JBN006624,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000932,#1,903.0471.,CONDIT RELEASE VIOLATION: VIOLATION OF CONDITION OF PRETRIAL RELEASE,N,N
ASO19JBN001135,#1,810.09.2b,TRESPASSING: FAIL TO LEAVE PROPERTY UPON ORDER BY OWNER,M,1st
ASO18JBN007818,#1,810.02.3b,BURGL: OF UNOCCUPIED DWELLING; UNARMED; NO ASSLT/BATT,F,2nd
ASO18JBN007818,#2,812.014.2c1,LARC: GRAND THEFT 300 LESS THAN 5K DOLS,F,3rd
ASO19JBN001252,#1,790.01.2,CARRYING CONCEALED WEAPON: UNLICENSED FIREARM,F,3rd
ASO19JBN001252,#2,790.23.1a,POSSESSION OF WEAPON: OR AMMO BY CONVICTED FLA FELON,F,2nd
ASO19JBN001252,#3,843.02,RESIST OFFICER: OBSTRUCT WO VIOLENCE,M,1st
ASO19JBN001252,#4,790.27.2,WEAPON OFFENSE: DELIVER POSSESS SELL ALTERED FIREARM,M,1st
ASO18JBN005306,#1,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO19JBN000799,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO18JBN006096,#1,790.23.1a,POSSESSION OF WEAPON: OR AMMO BY CONVICTED FLA FELON,F,2nd
ASO19JBN000535,#1,817.034.4a3,FRAUD-SWINDLE: OBTAIN PROPERTY UNDER 20K DOLS,F,3rd
ASO19JBN000535,#2,817.034.4a3,FRAUD-SWINDLE: OBTAIN PROPERTY UNDER 20K DOLS,F,3rd
ASO19JBN000535,#3,817.568.2a,FRAUD-IMPERSON: USE POSS ID OF ANOTHER PERSON WO CONSENT,F,3rd
ASO19JBN000535,#4,817.568.2a,FRAUD-IMPERSON: USE POSS ID OF ANOTHER PERSON WO CONSENT,F,3rd
ASO19JBN000535,#5,817.611.2a,PASS COUNTERFEITED: TRAFFIC POSS 5 TO 14 COUNTERFEIT CREDIT CARDS,F,2nd
ASO19JBN000535,#6,934.215,PUBLIC ORDER CRIMES: USE 2 WAY COMM DEVICE TO FACIL FELONY,F,3rd
ASO19JBN000535,#7,934.215,PUBLIC ORDER CRIMES: USE 2 WAY COMM DEVICE TO FACIL FELONY,F,3rd
ASO19JBN000535,#8,934.215,PUBLIC ORDER CRIMES: USE 2 WAY COMM DEVICE TO FACIL FELONY,F,3rd
ASO19JBN000535,#9,934.215,PUBLIC ORDER CRIMES: USE 2 WAY COMM DEVICE TO FACIL FELONY,F,3rd
ASO19JBN000535,#10,817.568.2a,FRAUD-IMPERSON: USE POSS ID OF ANOTHER PERSON WO CONSENT,F,3rd
ASO19JBN000535,#11,817.568.2a,FRAUD-IMPERSON: USE POSS ID OF ANOTHER PERSON WO CONSENT,F,3rd
ASO19JBN000535,#12,817.568.2a,FRAUD-IMPERSON: USE POSS ID OF ANOTHER PERSON WO CONSENT,F,3rd
ASO19JBN001616,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000598,#1,901.31,FAILURE TO APPEAR: WRITTEN PROMISE TO APPEAR,N,N
ASO19JBN001109,#1,777.7777.,NON-CHARGEABLE OFFENSE: INFORMATION PURPOSES ONLY,N,N
ASO19JBN001634,#1,784.03.1a1,BATTERY: TOUCH OR STRIKE,M,1st
ASO19JBN001634,#2,784.03.1a1,BATTERY: TOUCH OR STRIKE,M,1st
ASO19JBN001634,#3,810.02.3a,BURGL: OF DWELLING UNARMED NO ASSLT OR BATT,F,2nd
ASO18JBN006331,#1,812.014.3c,LARC: PETIT THEFT 2ND DEGREE 3RD SUBSQ OFFENSE,F,3rd
ASO19JBN000593,#1,918.13,EVIDENCE-DESTROYING: TAMPER WITH OR FABRICATE PHYSICAL,F,3rd
ASO19JBN000593,#2,893.13.1a1,COCAINE-POSSESS: WITH INTENT TO SELL MFG DELIV ETC SCHEDULE II,F,2nd
ASO19JBN000593,#3,316.1935.1,FLEE/ELUDE POLICE: FAIL TO OBEY LEO ORDER TO STOP,F,3rd
ASO19JBN001502,#1,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO19JBN001502,#2,810.09.2b,TRESPASSING: FAIL TO LEAVE PROPERTY UPON ORDER BY OWNER,M,1st
ASO18JBN007523,#1,812.014.2c1,LARC: GRAND THEFT 300 LESS THAN 5K DOLS,F,3rd
ASO18JBN007523,#2,539.001.8b8a,FRAUD: FALSE OWNER INFO PAWN ITEMS LESS THAN 300 DOLS,F,3rd
ASO18JBN007523,#3,539.001.8b8a,FRAUD: FALSE OWNER INFO PAWN ITEMS LESS THAN 300 DOLS,F,3rd
ASO19JBN001613,#1,810.09.2b,TRESPASSING: FAIL TO LEAVE PROPERTY UPON ORDER BY OWNER,M,1st
ASO19JBN001231,#1,893.135.1b2,COCAINE-TRAFFIC: 150 KG OR MORE,F,1st
ASO19JBN001302,#1,810.09.2b,TRESPASSING: FAIL TO LEAVE PROPERTY UPON ORDER BY OWNER,M,1st
ASO19JBN001026,#1,812.014.2c3,LARC: GRAND THEFT 10K LESS THAN 20K DOLS,F,3rd
ASO19JBN001026,#2,812.014.3b,LARC: PETIT THEFT 2ND DEGREE 2ND OFFENSE,M,1st
ASO19JBN001026,#3,817.568.10a,FRAUD-IMPERSON: MISREPRESENT SELF COMMIT PERSONAL ID MISD,F,3rd
ASO19JBN001026,#4,817.568.10a,FRAUD-IMPERSON: MISREPRESENT SELF COMMIT PERSONAL ID MISD,F,3rd
ASO19JBN001026,#5,817.568.10a,FRAUD-IMPERSON: MISREPRESENT SELF COMMIT PERSONAL ID MISD,F,3rd
ASO19JBN001026,#6,817.568.2a,FRAUD-IMPERSON: USE POSS ID OF ANOTHER PERSON WO CONSENT,F,3rd
ASO19JBN001026,#7,825.103.3B,CRIMES AGAINST PERSON: EXPLOITATION OF ELDERLY 10K DOL TO UND 50K DOL,F,2nd
ASO19JBN001026,#8,831.02,FRAUD: UTTER FALSE INSTRUMENT,F,3rd
ASO19JBN001026,#9,831.02,FRAUD: UTTER FALSE INSTRUMENT,F,3rd
ASO19JBN001026,#10,831.02,FRAUD: UTTER FALSE INSTRUMENT,F,3rd
ASO19JBN001306,#1,794.011.2a,SEX ASSLT: BY 18 YOA OLDER SEX BATTERY VICT UNDER 12 YOA,F,C
ASO19JBN001306,#2,794.011.2a,SEX ASSLT: BY 18 YOA OLDER SEX BATTERY VICT UNDER 12 YOA,F,C
ASO19JBN001306,#3,794.011.2a,SEX ASSLT: BY 18 YOA OLDER SEX BATTERY VICT UNDER 12 YOA,F,C
ASO19JBN001306,#4,800.04.5b,LEWD LASCV BEHAVIOR: MOLEST VIC LESS 12YOA OFFENDER 18 YOA OR OLDER,F,L
ASO19JBN001306,#5,800.04.5b,LEWD LASCV BEHAVIOR: MOLEST VIC LESS 12YOA OFFENDER 18 YOA OR OLDER,F,L
ASO19JBN001306,#6,800.04.5b,LEWD LASCV BEHAVIOR: MOLEST VIC LESS 12YOA OFFENDER 18 YOA OR OLDER,F,L
ASO19JBN001466,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN001466,#2,810.02.3c,BURGL: OCCUPIED STRUCTURE UNARMED,F,2nd
ASO19JBN001681,#1,322.34.5,MOVING TRAFFIC VIOL: DRIVE WHILE LIC SUSP HABITUAL OFFENDER,F,3rd
ASO19JBN001681,#2,893.13.6b,MARIJUANA-POSSESS: NOT MORE THAN 20 GRAMS,M,1st
ASO19JBN001681,#3,893.13.6c,SYNTH NARCOTIC-POSSESS: OVER 10 GRAMS SCHEDULE I,F,1st
ASO19JBN001681,#4,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO18JBN007159,#1,322.212.1,FRAUD: POSS BLANK FICTITIOUS UNLAWFUL DRIV LIC OR ID,F,3rd
ASO18JBN007159,#2,901.36.1,FRAUD-IMPERSON: FALSE ID GIVEN TO LEO,M,1st
ASO19JBN000735,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO18JBN002110,#1,790.23.1a,POSSESSION OF WEAPON: OR AMMO BY CONVICTED FLA FELON,F,2nd
ASO18JBN002110,#2,790.23.1a,POSSESSION OF WEAPON: OR AMMO BY CONVICTED FLA FELON,F,2nd
ASO19JBN001642,#1,901.04.,OUT-OF-COUNTY WARRANT: ,N,N
ASO19JBN000430,#1,322.34.2b,NONMOVING TRAFFIC VIOL: DRIVE WHILE LIC SUSP 2ND OFF,M,1st
ASO19JBN000193,#1,794.011.2a,SEX ASSLT: BY 18 YOA OLDER SEX BATTERY VICT UNDER 12 YOA,F,C
ASO19JBN000193,#2,800.04.5b,LEWD LASCV BEHAVIOR: MOLEST VIC LESS 12YOA OFFENDER 18 YOA OR OLDER,F,L
ASO19JBN000193,#3,847.0133.3,OBSCENE MATERIAL DISTRIB: TO MINOR,F,3rd
ASO19JBN001164,#1,812.014.2e,LARC: PETIT THEFT 1ST DEGREE 100 LESS 300 DOLS,M,1st
ASO19JBN001164,#2,893.13.1a1,COCAINE-POSSESS: WITH INTENT TO SELL MFG DELIV ETC SCHEDULE II,F,2nd
ASO19JBN001496,#1,901.31,FAILURE TO APPEAR: WRITTEN PROMISE TO APPEAR,N,N
ASO19JBN001418,#1,777.7777.,NON-CHARGEABLE OFFENSE: INFORMATION PURPOSES ONLY,N,N
ASO19JBN000439,#1,817.568.2a,FRAUD-IMPERSON: USE POSS ID OF ANOTHER PERSON WO CONSENT,F,3rd
ASO19JBN000439,#2,817.5685.3b2,FRAUD-IMPERSON: KNOW INTENT UNLAWUFL POSSESS 5 OR MORE IDENT,F,3rd
ASO19JBN000439,#3,831.08,POSSESS COUNTERFEITED: 10 OR MORE CERTAIN BILLS NOTES,F,3rd
ASO19JBN000439,#4,831.07,COUNTERFEITING OF: BANK BILL CHECK DRAFT NOTE,F,3rd
ASO19JBN000439,#5,831.02,PASS FORGED: ALTERED INSTRUMENT,F,3rd
ASO19JBN000439,#6,831.18.,POSSESS TOOLS FOR: TOOLS PAPER FOR FORGERY COUNTERFEITING,F,3rd
ASO19JBN000439,#7,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO19JBN000439,#8,893.13.6a,MARIJUANA-POSSESS: POSSESS MARIJUANA OVER 20 GRAMS,F,3rd
ASO19JBN000439,#9,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO19JBN000439,#10,817.611.2b,PASS COUNTERFEITED: TRAFFIC POSS 15 TO 49 COUNTERFEIT CREDIT CARDS,F,2nd
ASO19JBN000338,#1,893.13.1a1,DRUGS-POSSESS: POSSESS METHAMPHETAMINE,F,2nd
ASO19JBN000338,#2,951.22.1,SMUGGLE CONTRABAND: INTRODUCE INTO DETENTION FACILITY,F,3rd
ASO19JBN001692,#1,812.014.2c1,LARC: GRAND THEFT 300 LESS THAN 5K DOLS,F,3rd
ASO19JBN001692,#2,812.014.2e,LARC: PETIT THEFT 1ST DEGREE 100 LESS 300 DOLS,M,1st
ASO18JBN007103,#1,944.4,ESCAPE: ESCAPE,F,2nd
ASO19JBN001532,#1,810.02.2b,BURGL: DWELLING STRUCTURE OR CONVEYANCE ARMED,F,1st
ASO19JBN001532,#2,812.014.2c1,LARC: GRAND THEFT 300 LESS THAN 5K DOLS,F,3rd
ASO19JBN001532,#3,812.014.2c5,LARC: GRAND THEFT OF FIREARM,F,3rd
ASO19JBN001532,#4,918.13,EVIDENCE-DESTROYING: TAMPER WITH OR FABRICATE PHYSICAL,F,3rd
ASO18JBN007920,#1,893.13.1a1,COCAINE-POSSESS: WITH INTENT TO SELL MFG DELIV ETC SCHEDULE II,F,2nd
ASO18JBN007920,#2,893.13.1a1,COCAINE-SELL: SCHEDULE II,F,2nd
ASO18JBN007920,#3,893.1351.2,DRUGS-TRAFFIC: POSSESS STRUCTURE VEH KNOW TRAFFIC DRUGS,F,2nd
ASO18JBN007920,#4,934.215,PUBLIC ORDER CRIMES: USE 2 WAY COMM DEVICE TO FACIL FELONY,F,3rd
ASO19JBN000080,#1,784.03.2,BATTERY: 2ND OR SUBSQ OFF,F,3rd
ASO19JBN000080,#2,784.045.1a1,AGGRAV BATTERY: CAUSE BODILY HARM OR DISABILITY,F,2nd
ASO19JBN001468,#1,901.31,FAILURE TO APPEAR: WRITTEN PROMISE TO APPEAR,N,N
ASO19JBN001468,#2,843.02,RESIST OFFICER: OBSTRUCT WO VIOLENCE,M,1st
ASO19JBN000853,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO18JBN006019,#1,784.048.4,AGGRAV STALKING: FOLLOW HARASS CYBERSTALK AFTER INJUNCTION,F,3rd
ASO19JBN000403,#1,787.02.1a,KIDNAP-FALSE IMPRISONMENT: ADULT,F,3rd
ASO19JBN000403,#2,787.02.1a,KIDNAP-FALSE IMPRISONMENT: ADULT,F,3rd
ASO19JBN000403,#3,790.23.1a,POSSESSION OF WEAPON: OR AMMO BY CONVICTED FLA FELON,F,2nd
ASO19JBN000403,#4,812.13.2a,ROBBERY: WITH FIREARM,F,1st
ASO19JBN000403,#5,812.13.2a,ROBBERY: WITH FIREARM,F,1st
ASO19JBN000238,#1,812.014.3c,LARC: PETIT THEFT 2ND DEGREE 3RD SUBSQ OFFENSE,F,3rd
ASO18JBN000678,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000608,#1,784.03.1a1,BATTERY: TOUCH OR STRIKE,M,1st
ASO19JBN000608,#2,843.02,RESIST OFFICER: OBSTRUCT WO VIOLENCE,M,1st
ASO19JBN000266,#1,741.31.4a,CONTEMPT OF COURT: VIOL INJUNCTION PROTECTION DOMESTIC VIOLENCE,M,1st
ASO19JBN000591,#1,316.193.1,DUI-UNLAW BLD ALCH: DUI ALCOHOL OR DRUGS,M,N
ASO19JBN000796,#1,893.13.1a1,COCAINE-POSSESS: WITH INTENT TO SELL MFG DELIV ETC SCHEDULE II,F,2nd
ASO19JBN000796,#2,951.22.1,SMUGGLE CONTRABAND: INTRODUCE INTO DETENTION FACILITY,F,3rd
ASO19JBN000796,#3,316.193.1,DUI-UNLAW BLD ALCH: DUI ALCOHOL OR DRUGS,M,N
ASO19JBN000796,#4,322.34.5,MOVING TRAFFIC VIOL: DRIVE WHILE LIC SUSP HABITUAL OFFENDER,F,3rd
ASO19JBN000796,#5,316.193.1,DUI-UNLAW BLD ALCH: DUI ALCOHOL OR DRUGS,M,2nd
ASO19JBN000796,#6,893.13.1a1,OPIUM OR DERIV-POSSESS: WITH INTENT TO SELL MFG DELIV SCHEDULE I OR II,F,2nd
ASO19JBN000796,#7,322.34.5,NONMOVING TRAFFIC VIOL: DRIVE WHILE LIC SUSP HABITUAL OFFENDER,F,3rd
ASO19JBN000796,#8,951.22.1,SMUGGLE CONTRABAND: INTRODUCE INTO DETENTION FACILITY,F,3rd
ASO19JBN001008,#1,787.02.2,KIDNAP-FALSE IMPRISONMENT: ADULT OR CHILD UNDER 13 YEARS OF AGE,F,3rd
ASO19JBN001008,#2,812.135.2a,ROBBERY-RESID: HOME INVASION W/FIREARM OTHER DEADLY WEAPON,F,1st
ASO19JBN001008,#3,812.135.2a,ROBBERY-RESID: HOME INVASION W/FIREARM OTHER DEADLY WEAPON,F,1st
ASO19JBN001698,#1,777.7777.,NON-CHARGEABLE OFFENSE: INFORMATION PURPOSES ONLY,F,1st
ASO19JBN001042,#1,794.011.5b,SEX ASSLT: BY 18Y OLDR VIC 18Y OLDR NO PHY FORC VIOL,F,1st
ASO19JBN001042,#2,812.13.2c,ROBBERY: NO FIREARM OR WEAPON,F,2nd
ASO19JBN001042,#3,914.22.1,OBSTRUCTING JUSTICE: INTIMIDATE THREATEN ETC VICT WITNESS INFORMANT,F,3rd
ASO19JBN001042,#4,914.22.1,OBSTRUCTING JUSTICE: INTIMIDATE THREATEN ETC VICT WITNESS INFORMANT,F,3rd
ASO18JBN006338,#1,812.014.3c,LARC: PETIT THEFT 2ND DEGREE 3RD SUBSQ OFFENSE,F,3rd
ASO19JBN001699,#1,741.31.4a,CONTEMPT OF COURT: VIOL INJUNCTION PROTECTION DOMESTIC VIOLENCE,M,1st
ASO19JBN001035,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO18JBN007358,#1,817.60.6b,POSSESS COUNTERFEITED: CREDIT CARDS TWO OR MORE,F,3rd
ASO18JBN007358,#2,322.18.8d,FRAUD: POSSESS FICTITIOUS UNLAWFUL LIC EXTENSION,M,2nd
ASO18JBN007358,#3,901.36.1,FRAUD-IMPERSON: FALSE ID GIVEN TO LEO,M,1st
ASO18JBN007358,#4,817.611.2a,PASS COUNTERFEITED: TRAFFIC POSS 5 TO 14 COUNTERFEIT CREDIT CARDS,F,2nd
ASO19JBN001183,#1,810.02.3b,BURGL: UNOCCUPIED DWELLING UNARMED,F,2nd
ASO19JBN001183,#2,812.014.3a,LARC: PETIT THEFT 2ND DEGREE 1ST OFFENSE,M,2nd
ASO19JBN001498,#1,812.014.3c,LARC: PETIT THEFT 2ND DEGREE 3RD SUBSQ OFFENSE,F,3rd
ASO19JBN001498,#2,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO19JBN001498,#3,810.09.2b,TRESPASSING: FAIL TO LEAVE PROPERTY UPON ORDER BY OWNER,M,1st
ASO18JBN007975,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000661,#1,777.7777.,NON-CHARGEABLE OFFENSE: INFORMATION PURPOSES ONLY,N,N
ASO18JBN007294,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000291,#1,901.31,FAILURE TO APPEAR: WRITTEN PROMISE TO APPEAR,N,N
ASO19JBN000773,#1,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO18JBN006917,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO18JBN005724,#1,903.0471.,CONDIT RELEASE VIOLATION: VIOLATION OF CONDITION OF PRETRIAL RELEASE,N,N
ASO19JBN001315,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000812,#1,784.07.2c,ASSAULT: AGG ASSAULT ON OFFICER FIREFIGHTER EMT ETC,F,2nd
ASO19JBN000812,#2,784.07.2b,BATTERY: ON OFFICER FIREFIGHTER EMT ETC,F,3rd
ASO19JBN000812,#3,843.02,RESIST OFFICER: OBSTRUCT WO VIOLENCE,M,1st
ASO19JBN000812,#4,843.01,RESIST OFFICER: WITH VIOLENCE,F,3rd
ASO19JBN001323,#1,322.03.1,MOVING TRAFFIC VIOL: OPERATE MOTOR VEHICLE WO VALID LICENSE,M,2nd
ASO19JBN001323,#2,316.063.1,HIT AND RUN: ACCIDENT UNATTENDED VEH OR PROP WO LEAVING ID,M,2nd
ASO19JBN000985,#1,810.02.4b,BURGL: UNOCCUPIED CONVEYANCE UNARMED,F,3rd
ASO18JBN007053,#1,903.0471.,CONDIT RELEASE VIOLATION: VIOLATION OF CONDITION OF PRETRIAL RELEASE,N,N
ASO19JBN000828,#1,800.04.5b,LEWD LASCV BEHAVIOR: MOLEST VIC LESS 12YOA OFFENDER 18 YOA OR OLDER,F,L
ASO19JBN000828,#2,810.145.2,SEX OFFENSE: VIDEO VOYEURISM YOUNGER THAN 19 YOA 1ST OFF,M,1st
ASO19JBN001621,#1,901.31,FAILURE TO APPEAR: WRITTEN PROMISE TO APPEAR,N,N
ASO19JBN001016,#1,893.13.1a2,MARIJUANA-POSSESS: WITH INTENT TO SELL MFG OR DELIVER SCHEDULE I,F,3rd
ASO19JBN001016,#2,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO19JBN001016,#3,893.13.7c,DANGEROUS DRUGS: KEEP SHOP OR VEHICLE ETC FOR DRUGS 1ST VIOL,M,1st
ASO19JBN001016,#4,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO19JBN001016,#5,918.13,EVIDENCE-DESTROYING: TAMPER WITH OR FABRICATE PHYSICAL,F,3rd
ASO19JBN000631,#1,800.04.4a1,LEWD LASCV BEHAVIOR: VICTIM AGE 12 TO 16,F,2nd
ASO19JBN000631,#2,800.04.4a2,LEWD LASCV BEHAVIOR: PROMOTE SEXUAL ACTIVITY VICTIM LESS THAN 16,F,2nd
ASO19JBN001508,#1,843.02,RESIST OFFICER: OBSTRUCT WO VIOLENCE,M,1st
ASO19JBN001508,#2,316.1935.1,FLEE/ELUDE POLICE: FAIL TO OBEY LEO ORDER TO STOP,F,3rd
ASO19JBN000624,#1,812.014.3c,LARC: PETIT THEFT 2ND DEGREE 3RD SUBSQ OFFENSE,F,3rd
ASO19JBN001289,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN001458,#1,784.03.1a1,BATTERY: TOUCH OR STRIKE,M,1st
ASO19JBN001200,#1,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO19JBN001200,#2,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO19JBN001200,#3,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO19JBN001200,#4,499.03.1,DRUGS-HEALTH OR SAFETY: POSS HARMFUL NEW LEGEND DRUG WO PRESCRIPTION,M,2nd
ASO19JBN001200,#5,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO19JBN001200,#6,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO19JBN000634,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO15JBN107256,#1,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO15JBN107256,#2,812.13.2b,ROBBERY: WITH WEAPON,F,1st
ASO15JBN107256,#3,812.13.2b,ROBBERY: WITH WEAPON,F,1st
ASO15JBN107256,#4,812.13.2b,ROBBERY: WITH WEAPON,F,1st
ASO15JBN107256,#5,812.13.2b,ROBBERY: WITH WEAPON,F,1st
ASO15JBN107256,#6,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO19JBN000675,#1,784.045.1a2,AGGRAV BATTERY: PERSON USES A DEADLY WEAPON,F,2nd
ASO19JBN000675,#2,741.29.6,CONDIT RELEASE VIOLATION: PRE TRIAL RELEASE COND VIOL FOR DOMEST VIOL,M,1st
ASO19JBN000675,#3,741.29.6,CONDIT RELEASE VIOLATION: PRE TRIAL RELEASE COND VIOL FOR DOMEST VIOL,M,1st
ASO19JBN000675,#4,741.29.6,CONDIT RELEASE VIOLATION: PRE TRIAL RELEASE COND VIOL FOR DOMEST VIOL,M,1st
ASO19JBN000675,#5,741.29.6,CONDIT RELEASE VIOLATION: PRE TRIAL RELEASE COND VIOL FOR DOMEST VIOL,M,1st
ASO19JBN001319,#1,812.014.2c1,LARC: GRAND THEFT 300 LESS THAN 5K DOLS,F,3rd
ASO18JBN007662,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN001658,#1,794.011.2b,SEX ASSLT: BY UNDER 18 YOA SEX BATTERY VICTIM UND 12 YOA,F,L
ASO19JBN001658,#2,800.04.6c,LEWD LASCV BEHAVIOR: CONDUCT BY PERSON LESS THAN 18 YOA,F,3rd
ASO19JBN000686,#1,812.014.3b,LARC: PETIT THEFT 2ND DEGREE 2ND OFFENSE,M,1st
ASO19JBN000435,#1,812.155.3,FRAUD: FAIL REDELIV HIRED LEASED PROP 300 DOLS OR OVR,F,3rd
ASO19JBN000530,#1,316.061.1,HIT AND RUN: LEAVE SCENE OF CRASH INVOLVE DAMAGE TO PROP,M,2nd
ASO19JBN000530,#2,322.34.2b,MOVING TRAFFIC VIOL: DRIVE WHILE LIC SUSP 2ND OFF,M,1st
ASO18JBN006489,#1,812.014.3c,LARC: PETIT THEFT 2ND DEGREE 3RD SUBSQ OFFENSE,F,3rd
ASO18JBN006489,#2,893.13.6b,MARIJUANA-POSSESS: NOT MORE THAN 20 GRAMS,M,1st
ASO18JBN006489,#3,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO19JBN001354,#1,893.13.6b,MARIJUANA-POSSESS: NOT MORE THAN 20 GRAMS,M,1st
ASO19JBN001354,#2,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO19JBN001354,#3,316.1935.1,FLEE/ELUDE POLICE: FAIL TO OBEY LEO ORDER TO STOP,F,3rd
ASO19JBN001354,#4,316.061,HIT AND RUN: LEAVE SCENE OF CRASH INVOLVE DAMAGE TO PROP,M,2nd
ASO18JBN007918,#1,810.02.3b,BURGL: OF UNOCCUPIED DWELLING; UNARMED; NO ASSLT/BATT,F,2nd
